source_file,source_page,serial_no,date,date_raw,transmission_zone,voltage_class_kv,asset_station_text,station_codes,opened_at,closed_at,duration_text,duration_minutes,opened_hour,opened_hour_bucket,remarks,outage_type,raw_text
OUTAGES JAN-26.pdf,2,47,01/01/26,01-Jan-26,BANGALORE,66,66KV AREHALLI - BANASHANKARI AREHALLI,,17:10,17:15,0:05,5,17,day_other,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 66KV AREHALLI - BANASHANKARI AREHALLI 17:10 17:15 00:05 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,2,48,01/01/26,01-Jan-26,BANGALORE,66,"66KV DABASPETE 220 - HIREHALLI HIREHALLI, HONNUDIKE",,14:21,15:27,1:06,66,14,solar_window,TRIPPED ON FAULT,forced,"BANGALORE 66 66KV DABASPETE 220 - HIREHALLI HIREHALLI, HONNUDIKE 14:21 15:27 01:06 TRIPPED ON FAULT"
OUTAGES JAN-26.pdf,2,49,01/01/26,01-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU, KANASWADI",,6:38,7:02,0:24,24,6,day_other,TRIPPED ON FAULT,forced,"BANGALORE 6666KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU, KANASWADI06:38 07:02 00:24 TRIPPED ON FAULT"
OUTAGES JAN-26.pdf,2,50,01/01/26,01-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU, KANASWADI",,6:38,7:02,0:24,24,6,day_other,TRIPPED ON FAULT,forced,"BANGALORE 66 66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU, KANASWADI06:38 07:02 00:24 TRIPPED ON FAULT"
OUTAGES JAN-26.pdf,2,51,01/01/26,01-Jan-26,BANGALORE,66,66KV SUBRAMANYAPURA 220 - PADMANABHA NAGAR - AREHALLIAREHALLI,,11:09,11:32,0:23,23,11,solar_window,TRIPPED ON FAULT,forced,BANGALORE 6666KV SUBRAMANYAPURA 220 - PADMANABHA NAGAR - AREHALLIAREHALLI 11:09 11:32 00:23 TRIPPED ON FAULT
OUTAGES JAN-26.pdf,2,52,01/01/26,01-Jan-26,BANGALORE,66,66KV T GOLLAHALLI 220 - KGF 1 NO STATION AFFECTED,,0:00,23:59,23:59,1439,0,night_offpeak,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 66KV T GOLLAHALLI 220 - KGF 1 NO STATION AFFECTED 00:00 23:59 23:59 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,2,53,01/01/26,01-Jan-26,BANGALORE,66,HV1 THONDEBHAVI,,16:40,16:42,0:02,2,16,day_other,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 HV1 THONDEBHAVI 16:40 16:42 00:02 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,2,54,01/01/26,01-Jan-26,BANGALORE,66,HV1 MASTI,,16:20,17:05,0:45,45,16,day_other,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 HV1 MASTI 16:20 17:05 00:45 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,2,55,01/01/26,01-Jan-26,BANGALORE,66,HV2 PADMANABHANAGARA,,9:42,9:47,0:05,5,9,day_other,TRIPPED ON FAULT,forced,BANGALORE 66 HV2 PADMANABHANAGARA 09:42 09:47 00:05 TRIPPED ON FAULT
OUTAGES JAN-26.pdf,2,56,01/01/26,01-Jan-26,BANGALORE,220,220KV DEVANAHALLI 400 GIS - NRS DB PURA 220 2NO STATION AFFECTED,,0:00,23:59,23:59,1439,0,night_offpeak,TRIPPED ON FAULT,forced,BANGALORE 220220KV DEVANAHALLI 400 GIS - NRS DB PURA 220 2NO STATION AFFECTED 00:00 23:59 23:59 TRIPPED ON FAULT
OUTAGES JAN-26.pdf,6,167,02/01/26,02-Jan-26,BANGALORE,66,66KV D CROSS - KANASWADI KANASAWADI,,6:38,7:28,0:50,50,6,day_other,MAIN SUPPLY FAILED,forced,BANGALORE 66 66KV D CROSS - KANASWADI KANASAWADI 06:38 07:28 00:50 MAIN SUPPLY FAILED
OUTAGES JAN-26.pdf,6,168,02/01/26,02-Jan-26,BANGALORE,66,66KV KAGGALIPURA (BRIGADE MEADOWS) - SHOBHA FOREST VIEWSHOBHA FOREST VIEW,,7:52,8:05,0:13,13,7,day_other,TRIPPED ON FAULT,forced,BANGALORE 6666KV KAGGALIPURA (BRIGADE MEADOWS) - SHOBHA FOREST VIEWSHOBHA FOREST VIEW 07:52 08:05 00:13 TRIPPED ON FAULT
OUTAGES JAN-26.pdf,6,169,02/01/26,02-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU",,15:30,15:38,0:08,8,15,solar_window,LINE CLEAR AVAILED,planned_or_line_clear,"BANGALORE 6666KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU15:30 15:38 00:08 LINE CLEAR AVAILED"
OUTAGES JAN-26.pdf,7,170,02/01/26,02-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU",,6:38,7:02,0:24,24,6,day_other,TRIPPED ON FAULT,forced,"BANGALORE 6666KV NRS DB PURA 220 - APPAREL PARK - D CROSS 3AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU06:38 07:02 00:24 TRIPPED ON FAULT"
OUTAGES JAN-26.pdf,7,171,02/01/26,02-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU",,15:30,15:38,0:08,8,15,solar_window,LINE CLEAR AVAILED,planned_or_line_clear,"BANGALORE 66 66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU15:30 15:38 00:08 LINE CLEAR AVAILED"
OUTAGES JAN-26.pdf,7,172,02/01/26,02-Jan-26,BANGALORE,66,"66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU",,6:38,7:02,0:24,24,6,day_other,TRIPPED ON FAULT,forced,"BANGALORE 66 66KV NRS DB PURA 220 - D CROSS 2AIR(EHT), DODDABELAVANGALA, GUNDAMGERE, SASALU06:38 07:02 00:24 TRIPPED ON FAULT"
OUTAGES JAN-26.pdf,7,173,02/01/26,02-Jan-26,BANGALORE,66,66KV PUTTENAHALLI 220 - KANASWADI KANASAWADI,,15:40,15:42,0:02,2,15,solar_window,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 66KV PUTTENAHALLI 220 - KANASWADI KANASAWADI 15:40 15:42 00:02 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,7,174,02/01/26,02-Jan-26,BANGALORE,66,66KV SULIBELE - CHANNARAYAPATNA CHANNARAYAPATNA,,6:32,6:50,0:18,18,6,day_other,TRIPPED ON FAULT,forced,BANGALORE 66 66KV SULIBELE - CHANNARAYAPATNA CHANNARAYAPATNA 06:32 06:50 00:18 TRIPPED ON FAULT
OUTAGES JAN-26.pdf,7,175,02/01/26,02-Jan-26,BANGALORE,66,66KV T GOLLAHALLI 220 - KGF 1 NO STATION AFFECTED,,0:00,23:59,23:59,1439,0,night_offpeak,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 66KV T GOLLAHALLI 220 - KGF 1 NO STATION AFFECTED 00:00 23:59 23:59 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,7,176,02/01/26,02-Jan-26,BANGALORE,66,"66KV YENNIGADALE - SOMANATHAPURA - CHELURCHELUR, CHAKAVELU",,17:00,17:10,0:10,10,17,day_other,LINE CLEAR AVAILED,planned_or_line_clear,"BANGALORE 6666KV YENNIGADALE - SOMANATHAPURA - CHELURCHELUR, CHAKAVELU 17:00 17:10 00:10 LINE CLEAR AVAILED"
OUTAGES JAN-26.pdf,7,177,02/01/26,02-Jan-26,BANGALORE,66,HV1 ACCHALU,,20:58,21:41,0:43,43,20,evening_peak,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 HV1 ACCHALU 20:58 21:41 00:43 LINE CLEAR AVAILED
OUTAGES JAN-26.pdf,7,178,02/01/26,02-Jan-26,BANGALORE,66,HV1 BIDADI 220,,13:04,13:42,0:38,38,13,solar_window,LINE CLEAR AVAILED,planned_or_line_clear,BANGALORE 66 HV1 BIDADI 220 13:04 13:42 00:38 LINE CLEAR AVAILED
