date,timestamp,year,month,month_name,quarter,day,day_of_year,day_of_week,is_weekend,hour,time_block,load_2024_mw,load_2023_mw,frequency_hz,load_delta_2024_vs_2023_mw,load_delta_2024_vs_2023_pct,daily_peak_load_2024_mw,daily_min_load_2024_mw,daily_avg_load_2024_mw,load_factor_vs_daily_peak,is_daily_peak_hour,is_daily_min_hour,ramp_1h_mw,load_percentile_within_day,is_evening_peak_window,ev_shift_potential_mw,outage_source_month_available,outages_started_hour,outages_active_hour,outage_active_minutes_hour,forced_outages_started_hour,forced_outage_active_minutes_hour,line_clear_started_hour,load_curtailment_started_hour,unique_zones_started_hour,active_zones_hour,high_voltage_started_hour,avg_duration_started_min_hour,outages_total_day,forced_outages_day,line_clear_day,load_curtailment_day,zones_affected_day,high_voltage_outages_day,avg_outage_duration_min_day,top_outage_zone_day,top_outage_zone_count_day,zone_outage_concentration_hhi,grid_stress_index_0_100,charging_window_recommendation,load_curve_source_file,load_data_coverage_note,transformer_outages_started_hour,line_outages_started_hour,avg_transformer_capacity_mva_hour,max_transformer_capacity_mva_hour,avg_line_capacity_kv_hour,max_line_capacity_kv_hour,outage_location_centroid_lat_hour,outage_location_centroid_lon_hour,nearest_ev_distance_km_hour,nearest_ev_distance_km_min_hour,nearest_ev_point_name_hour,likely_resource_for_transformer_hour,resource_total_mu_day,resource_thermal_mu_day,resource_hydro_mu_day,resource_solar_mu_day,resource_cgs_import_mu_day,resource_other_mu_day,resource_thermal_share_day,resource_hydro_share_day,resource_solar_share_day,resource_cgs_import_share_day,dominant_power_resource_day
01/01/24,01/01/24 0:00,2024,1,January,Q1,1,1,Monday,FALSE,0,00:00-01:00,8371.43,7710.950000000001,49.98999999999999,660.4799999999996,0.085654816,14652.46,8100.0325,10877.49645833333,0.5713327318416157,FALSE,FALSE,,0.1666666666666667,FALSE,0,TRUE,2,2,90,1,60,0,0,2,2,0,734.5,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,11.43,recommended,D01JAN2024.xls,Missing load file for: 2024-11-21,0,2,,,66,66,15.0269902,75.1964645,58.819750920147854,58.819750920147854,Tata Power TSS Sirsi,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 1:00,2024,1,January,Q1,1,1,Monday,FALSE,1,01:00-02:00,8466.16,7321.08,50.03,1145.08,0.1564086173078289,14652.46,8100.0325,10877.49645833333,0.5777978578341112,FALSE,FALSE,94.72999999999956,0.25,FALSE,0,TRUE,1,2,66,1,66,0,0,1,2,1,6,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,16.59,recommended,D01JAN2024.xls,,0,1,,,110,110,16.6230011,76.873402,31.54909796841668,31.54909796841668,ev_node_6128170285,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 2:00,2024,1,January,Q1,1,1,Monday,FALSE,2,02:00-03:00,8100.0325,7166.985000000001,50.05,933.0474999999996,0.1301868916985315,14652.46,8100.0325,10877.49645833333,0.5528104154524224,FALSE,TRUE,-366.1275,0.041666667,FALSE,0,TRUE,2,3,141,0,60,2,0,2,3,2,139.7916666666667,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,5.27,recommended,D01JAN2024.xls,,0,2,,,255,400,15.6784766,75.36633015,55.579107881453474,48.96221597778726,ev_node_5305546325,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 3:00,2024,1,January,Q1,1,1,Monday,FALSE,3,03:00-04:00,8250.695,7054.08,49.985,1196.615,0.169634453,14652.46,8100.0325,10877.49645833333,0.5630928185437803,FALSE,FALSE,150.6624999999995,0.125,FALSE,0,TRUE,1,4,185,1,65,0,0,1,4,1,5,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,10.61,recommended,D01JAN2024.xls,,0,1,,,110,110,16.6645315,76.5204581,55.19008422549899,55.19008422549899,ev_node_6128170285,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 4:00,2024,1,January,Q1,1,1,Monday,FALSE,4,04:00-05:00,8412.3475,7122.645,50.005,1289.702499999999,0.1810707258328892,14652.46,8100.0325,10877.49645833333,0.5741252663375297,FALSE,FALSE,161.6525000000001,0.2083333333333333,FALSE,0,TRUE,2,5,156.5833333333333,2,78,0,0,2,4,2,9,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,16.35,recommended,D01JAN2024.xls,,1,1,20,20,110,110,16.2383885,76.278456,65.73054601822699,53.23427806,ev_node_5305546325,thermal,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 5:00,2024,1,January,Q1,1,1,Monday,FALSE,5,05:00-06:00,8616.4125,7530.54,50.015,1085.8725,0.144195835,14652.46,8100.0325,10877.49645833333,0.5880522792759715,FALSE,FALSE,204.0650000000005,0.375,FALSE,0,TRUE,3,4,95,2,76,1,0,2,3,1,15.66666666666667,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,25.71,neutral,D01JAN2024.xls,,0,3,,,80.66666666666667,110,15.3283704,75.1234929,83.93575817366214,83.93575817366214,Tata Power TSS Sirsi,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 6:00,2024,1,January,Q1,1,1,Monday,FALSE,6,06:00-07:00,9368.3025,7457.88,50.03,1910.4225,0.2561616035656245,14652.46,8100.0325,10877.49645833333,0.6393672120585895,FALSE,FALSE,751.8899999999994,0.5,FALSE,0,TRUE,14,16,298,8,157,2,0,4,4,2,65,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,42.71,neutral,D01JAN2024.xls,,1,13,,,148.92307692307693,220,14.179783899999999,76.42855528888889,113.80113723500507,82.27468593648355,Tata Power TSS Sirsi,thermal,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 7:00,2024,1,January,Q1,1,1,Monday,FALSE,7,07:00-08:00,10697.4175,7845.9925,50.085,2851.424999999999,0.3634243851239979,14652.46,8100.0325,10877.49645833333,0.7300765536981504,FALSE,FALSE,1329.115,0.5416666666666666,FALSE,0,TRUE,2,5,202,1,72,1,0,2,3,0,11,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,38.34,neutral,D01JAN2024.xls,,0,2,,,66,66,,,,,,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 8:00,2024,1,January,Q1,1,1,Monday,FALSE,8,08:00-09:00,12353.7775,8985.064999999999,50.04,3368.712500000001,0.3749235536971632,14652.46,8100.0325,10877.49645833333,0.8431196877520908,FALSE,FALSE,1656.360000000001,0.6666666666666666,FALSE,1476.281041666667,TRUE,9,12,329,5,132,4,0,3,4,2,239.4444444444445,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,51.4,neutral,D01JAN2024.xls,,0,9,,,100.22222222222223,220,15.025675216666668,75.70433083333334,78.26071401052926,1.4109575851877196,Tata Power TSS Sirsi,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
01/01/24,01/01/24 9:00,2024,1,January,Q1,1,1,Monday,FALSE,9,09:00-10:00,13875.8875,9719.61,49.925,4156.2775,0.4276177233448667,14652.46,8100.0325,10877.49645833333,0.947000538,FALSE,FALSE,1522.110000000001,0.8333333333333334,FALSE,2998.391041666668,TRUE,2,9,446,2,86,0,0,1,3,0,14.5,111,47,51,1,6,49,190.6809309309309,TUMKUR,38,0.233179125,59.03,avoid_peak,D01JAN2024.xls,,0,2,,,66,66,14.0572802,76.8093009,121.33720201341904,121.33720201341904,ev_node_13238855163,,89.474614,54.196,15.518613999999996,0,0,19.76,0.6057137055656926,0.17344153057760042,0,0,thermal
