date,timestamp,hour,day_of_week,load_2024_mw,load_2023_mw,synthetic_ev_demand_mw,predicted_ev_demand_mw,managed_ev_shift_mw,recommended_charge_score,charging_action,grid_stress_index_0_100,outages_active_hour,dominant_power_resource_day,nearest_ev_point_name_hour,nearest_ev_distance_km_hour
2024-01-01,2024-01-01 00:00:00,0,Monday,8371.43,7710.950000000001,30.353,,0.0,100.0,charge_now,11.43,2.0,thermal,Tata Power TSS Sirsi,58.819750920147854
2024-01-01,2024-01-01 01:00:00,1,Monday,8466.16,7321.08,28.195,,0.0,100.0,charge_now,16.59,2.0,thermal,ev_node_6128170285,31.54909796841668
2024-01-01,2024-01-01 02:00:00,2,Monday,8100.0325,7166.985000000001,26.047,,0.0,100.0,charge_now,5.27,3.0,thermal,ev_node_5305546325,55.579107881453474
2024-01-01,2024-01-01 03:00:00,3,Monday,8250.695,7054.08,22.291,,0.0,95.39,charge_now,10.61,4.0,thermal,ev_node_6128170285,55.19008422549899
2024-01-01,2024-01-01 04:00:00,4,Monday,8412.3475,7122.645,21.418,,0.0,89.65,charge_now,16.35,5.0,thermal,ev_node_5305546325,65.73054601822699
2024-01-01,2024-01-01 05:00:00,5,Monday,8616.4125,7530.54,22.295,,0.0,80.29,charge_now,25.71,4.0,thermal,Tata Power TSS Sirsi,83.93575817366214
2024-01-01,2024-01-01 06:00:00,6,Monday,9368.3025,7457.88,54.715,,0.0,45.29,flexible,42.71,16.0,thermal,Tata Power TSS Sirsi,113.80113723500509
2024-01-01,2024-01-01 07:00:00,7,Monday,10697.4175,7845.9925,58.776,,0.0,49.66,flexible,38.34,5.0,thermal,,
2024-01-01,2024-01-01 08:00:00,8,Monday,12353.7775,8985.064999999999,63.156,,0.0,36.6,delay_charge,51.4,12.0,thermal,Tata Power TSS Sirsi,78.26071401052926
2024-01-01,2024-01-01 09:00:00,9,Monday,13875.8875,9719.61,65.694,,0.0,28.97,delay_charge,59.03,9.0,thermal,ev_node_13238855163,121.33720201341904
2024-01-01,2024-01-01 10:00:00,10,Monday,14514.68,12167.2725,57.485,,0.0,21.55,delay_charge,66.45,11.0,thermal,Honda e:swap,44.93783990033384
2024-01-01,2024-01-01 11:00:00,11,Monday,14456.195,12522.075,52.074,,0.0,13.61,delay_charge,74.39,27.0,thermal,Gogate Plaza,97.99995025554824
2024-01-01,2024-01-01 12:00:00,12,Monday,14652.46,12131.34,50.274,,0.0,9.09,delay_charge,78.91,26.0,thermal,ev_way_1510242804,72.57444799860741
2024-01-01,2024-01-01 13:00:00,13,Monday,14309.115,11517.03,49.613,,0.0,37.91,delay_charge,68.09,21.0,thermal,Tata Power TSS Sirsi,69.82751318068236
2024-01-01,2024-01-01 14:00:00,14,Monday,13725.4375,11409.62,50.488,,0.0,42.86,delay_charge,63.14,24.0,thermal,Tata Power TSS Sirsi,76.64103876072032
2024-01-01,2024-01-01 15:00:00,15,Monday,13827.37,11304.61,49.956,,0.0,42.61,delay_charge,63.39,22.0,thermal,Gogate Plaza,97.79434465833914
2024-01-01,2024-01-01 16:00:00,16,Monday,13131.3325,11135.5,54.018,,0.0,26.46,delay_charge,61.54,25.0,thermal,Tata Power TSS Sirsi,71.60457504372461
2024-01-01,2024-01-01 17:00:00,17,Monday,12125.4575,9686.09,122.03,,0.0,33.78,delay_charge,54.22,21.0,thermal,Tata Power TSS Sirsi,153.43088997102507
2024-01-01,2024-01-01 18:00:00,18,Monday,10829.035,8317.880000000001,106.634,,0.0,37.22,delay_charge,50.78,19.0,thermal,ev_node_13238855163,15.62004548436988
