location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
Tumkur,242,23,219,63.64030118,90.78947368421052,209.3827160493827,13.4812089,77.045091,30,8.066666666666666,23.0,100.0,100.0,41.661594202898556,85.42,build_new_fast_charging_hub
Bidnal,403,6,397,85.14186754,10.0,208.25188916876576,15.325662499999998,75.1597363,194,2.077319587628866,4.0,100.0,49.74,100.0,82.41,build_new_fast_charging_hub
Kadakola,416,0,416,85.8004468,,117.9375,12.2036755,76.6678355,196,2.122448979591837,4.0,100.0,49.28,100.0,82.25,build_new_fast_charging_hub
Kaduru,271,0,271,109.6154186,,118.11808118081181,13.5779068,75.9942004,109,2.4862385321100917,7.599999999999994,100.0,52.07999999999998,93.98333333333333,81.72,build_new_fast_charging_hub
Ambewadi,351,38,313,70.48226069,22.105263157894736,179.93610223642173,15.2774603,74.6168557,181,1.9392265193370166,5.0,100.0,57.58,83.14047619047619,80.94,build_new_fast_charging_hub
Benkikere,227,8,216,142.5563234,,207.98130841121494,14.0194073,76.0081546,85,2.6705882352941175,8.799999999999997,100.0,55.359999999999985,85.73333333333333,80.81,build_new_fast_charging_hub
Hebbani,216,1,215,51.9156199,,98.23255813953489,12.3392708,77.134476,107,2.0186915887850465,5.0,100.0,37.53,85.58333333333334,74.53,build_new_fast_charging_hub
Hubli,255,17,238,83.93575817,17.647058823529413,186.07563025210084,15.3283704,75.1234929,151,1.6887417218543046,4.0,100.0,40.650000000000006,81.03333333333333,74.49,build_new_fast_charging_hub
Gadag,186,43,143,120.2441931,14.210526315789474,150.76923076923077,15.416571899999997,75.6036712,98,1.8979591836734695,4.0,100.0,41.63,77.7462962962963,74.01,build_new_fast_charging_hub
Hariyabbe,90,11,75,121.337202,9.8,89.85915492957747,14.0572802,76.8093009,46,1.9565217391304348,5.0,100.0,29.95,92.88265306122447,73.7,build_new_fast_charging_hub
Zhalki,139,139,0,49.71142732,17.769784172661872,,17.2522254,75.8024914,77,1.8051948051948052,4.0,100.0,61.870000000000005,45.020242914979754,72.91,build_new_fast_charging_hub
Haveri,213,0,213,62.19599979,,269.85915492957747,14.8008744,75.3903124,111,1.9189189189189189,4.0,100.0,33.04,85.28333333333333,72.88,build_new_fast_charging_hub
Shiggoan,110,17,93,58.71534849,10.588235294117647,165.59139784946237,15.0082002,75.2166545,78,1.4102564102564104,4.0,100.0,29.05,89.50555555555556,72.54,build_new_fast_charging_hub
Madhuvanahally,226,1,225,71.30023898,,74.21333333333334,12.1408966,77.1805858,129,1.751937984496124,3.0,100.0,30.330000000000002,87.08333333333334,72.39,build_new_fast_charging_hub
Madhugiri,160,18,142,71.35900958,13.125,181.7810218978102,13.666551800000002,77.2356812,92,1.7391304347826086,4.0,100.0,33.3,82.25238095238096,72.22,build_new_fast_charging_hub
Benakatti,65,19,46,57.30618832,10.0,112.3913043478261,15.909574999999998,75.064691,28,2.3214285714285716,5.0,100.0,29.95,86.9,72.21,build_new_fast_charging_hub
Atharga,139,6,133,27.85807031,10.0,110.0,17.0000194,75.8898727,115,1.208695652173913,2.0,100.0,20.62,99.95,72.2,build_new_fast_charging_hub
Aheri,63,3,60,64.80064816,10.0,139.33333333333334,16.969999,76.3022276,28,2.25,5.649999999999999,100.0,28.389999999999993,89.0,72.19,build_new_fast_charging_hub
Bagalkot,171,42,128,69.82441481,15.789473684210526,182.1875,16.1865748,75.6690572,100,1.71,4.049999999999997,100.0,40.37999999999999,69.86666666666667,71.6,build_new_fast_charging_hub
Mughalkod,102,4,98,54.97491129,10.0,147.0408163265306,16.3638167,74.7735697,70,1.457142857142857,3.0,100.0,21.16,94.7,71.08,build_new_fast_charging_hub
Kushalnagar,202,5,197,105.7489343,,67.56345177664974,12.457139699999999,75.9650564,126,1.6031746031746033,3.0,100.0,29.41,82.88333333333333,71.01,build_new_fast_charging_hub
Jamkhandi Sugars,25,14,11,40.43572741,10.0,101.0,16.6090595,75.4013179,12,2.0833333333333335,6.149999999999995,100.0,30.09999999999998,81.65,70.95,build_new_fast_charging_hub
Ron,121,21,100,123.4545664,12.380952380952381,111.1,15.7040235,75.772793,69,1.7536231884057971,4.0,100.0,30.93,79.61538461538461,70.73,build_new_fast_charging_hub
Ghataprabha,171,22,149,44.14016085,14.090909090909092,143.2214765100671,16.2350664,74.7918742,105,1.6285714285714286,3.0,100.0,31.18,79.1241935483871,70.69,build_new_fast_charging_hub
Ranebennuru,126,36,90,84.22945969,13.333333333333334,158.88888888888889,14.6103151,75.6242553,72,1.75,4.0,100.0,35.08,73.5,70.65,build_new_fast_charging_hub
Tubinakere,198,1,197,52.77947416,,150.4263959390863,12.491768500000001,76.8015381,123,1.6097560975609757,3.0,100.0,28.09,82.88333333333333,70.55,build_new_fast_charging_hub
Hassan,176,1,174,64.58641184,,87.25287356321839,12.991909600000001,76.1930286,104,1.6923076923076923,4.0,100.0,30.33,79.43333333333334,70.47,build_new_fast_charging_hub
Malebennuru,28,4,23,101.3830171,7.35,213.30434782608697,14.364969,75.744377,22,1.2727272727272727,2.9499999999999993,100.0,15.039999999999997,100.0,70.26,build_new_fast_charging_hub
Puttur,125,2,123,43.29066965,,134.14634146341464,12.8059982,75.1345373,57,2.192982456140351,6.0,100.0,34.5,71.78333333333333,70.02,build_new_fast_charging_hub
Jamakhandi,66,13,53,56.75552923,10.0,110.0,16.4987872,75.2958115,50,1.32,3.549999999999997,100.0,22.72999999999999,87.95,69.94,add_incremental_charging_capacity
Takalaki,54,20,34,20.62683827,11.0,110.0,16.9324883,75.567516,32,1.6875,5.0,100.0,29.32,77.82727272727273,69.72,add_incremental_charging_capacity
Kattige,53,3,50,88.15485141,8.0,66.0,14.2192644,75.5452159,43,1.2325581395348837,2.0,100.0,12.99,100.0,69.55,add_incremental_charging_capacity
Hudali,71,9,62,15.46702479,10.0,115.3225806451613,15.971864499999999,74.6666746,43,1.6511627906976745,3.0,100.0,19.93,89.3,69.3,add_incremental_charging_capacity
Varahi,175,6,169,80.30710636,,220.0,13.7029772,74.9991632,114,1.5350877192982457,3.0,100.0,27.5,78.68333333333334,69.3,add_incremental_charging_capacity
Kumta,74,4,70,49.21794057,10.0,110.0,14.452580900000001,74.4201299,52,1.4230769230769231,3.0,100.0,18.92,90.5,69.25,add_incremental_charging_capacity
Vajramatti,155,26,129,67.72116628,16.923076923076923,181.62790697674419,16.2944649,75.3823462,81,1.9135802469135803,4.0,100.0,34.9,66.62272727272727,68.87,add_incremental_charging_capacity
Khadaklat,40,29,11,56.54125234000001,10.344827586206897,110.0,16.4414079,74.4710901,24,1.6666666666666667,3.849999999999998,100.0,25.84999999999999,78.98333333333333,68.79,add_incremental_charging_capacity
Shahapur,126,1,125,31.54909797,,141.68,16.6230011,76.873402,68,1.8529411764705883,5.0,100.0,30.33,72.08333333333334,68.64,add_incremental_charging_capacity
Anmod,12,4,8,41.99197671,5.0,110.0,15.4381754,74.3079178,10,1.2,2.0,100.0,9.96,100.0,68.49,add_incremental_charging_capacity
Indi,38,12,26,46.82699091,10.0,186.15384615384616,17.1648043,75.9576415,24,1.5833333333333333,3.849999999999998,100.0,21.43999999999999,83.9,68.48,add_incremental_charging_capacity
Honnalli,234,13,220,100.5251216,29.1,169.1,11.8334318,76.9107348,130,1.8,4.0,100.0,37.97,60.491408934707906,68.41,add_incremental_charging_capacity
Chikkodi,199,37,162,57.88467796,22.12121212121212,156.17283950617283,16.4448828,74.5995324,136,1.463235294117647,3.0,100.0,37.17,60.46438356164384,68.13,add_incremental_charging_capacity
Konaje,140,0,140,25.97850648,,110.0,12.8178161,74.9315052,74,1.8918918918918919,4.0,100.0,27.200000000000003,74.33333333333334,68.1,add_incremental_charging_capacity
