source_zone,target_zone,shared_event_weight
BAGALKOTE,Machhe,9
BAGALKOTE,Bailahongala,9
BAGALKOTE,MK Hubli,26
BAGALKOTE,Benakatti,39
Ambewadi,BAGALKOTE,166
Athani,BAGALKOTE,55
BAGALKOTE,Ghataprabha,56
BAGALKOTE,Guttal,40
BAGALKOTE,Haveri,59
BAGALKOTE,nan,2194
BAGALKOTE,Hunagund,36
BAGALKOTE,Jindal,4
BAGALKOTE,Kulgeri Cross,62
BAGALKOTE,Kittur,2
BAGALKOTE,Narendra,85
BAGALKOTE,Chikkodi,63
BAGALKOTE,Suvarna Soudha,13
BAGALKOTE,Ugar,36
BANGALORE,Bidadi,10
BANGALORE,nan,8262
BANGALORE,BG Road,24
BANGALORE,Brindavan,23
BANGALORE,Subramanyapura Substation,23
GULBARGA,nan,1208
GULBARGA,Shahapur,125
GULBARGA,Gudekote,23
GULBARGA,Lingasugur,87
Arasikere,HASAN,1
HASAN,nan,715
HASAN,Kaduru,18
HASAN,Honnalli,2
Beguru,MYSORE,92
MYSORE,nan,4059
Halagur,MYSORE,22
Hebbani,MYSORE,184
Kadakola,MYSORE,371
MYSORE,Ponnampet,34
MYSORE,Taripura,10
TUMKUR,nan,3195
Haveri,TUMKUR,78
Guttur New,TUMKUR,61
Hosadurga,TUMKUR,72
Hariyabbe,TUMKUR,76
BAGALKOTE,Hattaragi,13
BAGALKOTE,Kadanakoppa,23
BAGALKOTE,Gajendragad,45
Alabal,BAGALKOTE,17
Atharga,BAGALKOTE,80
BAGALKOTE,Babaleshwar,38
BAGALKOTE,Belgaum,44
BAGALKOTE,Tikota,26
BAGALKOTE,Yadawad,13
BANGALORE,HMT,15
GULBARGA,Guttur New,3
GULBARGA,Ujani,3
GULBARGA,Wadgera,1
GULBARGA,Lingapura,12
GULBARGA,Kembhavi,14
Bajpe,HASAN,1
HASAN,Kavoor,13
HASAN,Konaje,11
HASAN,Kundapura,1
HASAN,Nandikur,6
HASAN,Suzlon,3
HASAN,Puttur,10
HASAN,Soraba,7
MYSORE,Meghalapura,25
Koppa,MYSORE,15
MYSORE,Muguru,49
MYSORE,Periyapatna,59
MYSORE,Tubinakere,129
Mathodu,TUMKUR,65
Benkikere,TUMKUR,191
Hireguntur,TUMKUR,3
Shimoga,TUMKUR,28
Sira,TUMKUR,78
BAGALKOTE,Kagwad,9
BAGALKOTE,Ranebennuru,65
BAGALKOTE,Muddebihal,10
BAGALKOTE,Bagalkot,87
BAGALKOTE,Kerur,16
BAGALKOTE,Bydagi,11
BAGALKOTE,Hubli,112
BAGALKOTE,Itnal,37
BAGALKOTE,Badami,11
BAGALKOTE,Konnur,22
BAGALKOTE,Mahalingapura,96
BAGALKOTE,Hirebagewadi,5
BAGALKOTE,Takalaki,26
BAGALKOTE,Vajramatti,69
BANGALORE,Hosur,6
BANGALORE,Bevoor,3
BANGALORE,Ganjigunte,25
BANGALORE,Mathikere,31
GULBARGA,Kanakagiri,15
GULBARGA,Hiregonnagara,11
GULBARGA,Manvi,10
HASAN,Hassan,12
HASAN,Manipal,7
HASAN,UPCL,2
HASAN,Shikaripura,4
Hampapura,MYSORE,105
Attigulipura,MYSORE,15
Kushalnagar,MYSORE,170
MYSORE,Nagamangala,118
Ramapura,TUMKUR,15
Aremallapur,BAGALKOTE,4
BAGALKOTE,Bilagi,39
BAGALKOTE,Yaragatti,8
BAGALKOTE,Bijapur,39
BAGALKOTE,Shiggoan,50
BAGALKOTE,Doni,31
BAGALKOTE,Balligavi,5
BAGALKOTE,Hirekerur,46
BANGALORE,Kanakapura,57
BANGALORE,Hassan,1
BANGALORE,Talaguppa,2
BANGALORE,Vidyanagar,58
BANGALORE,Bangarapete,17
GULBARGA,Kudligi,22
GULBARGA,Gurgunta,4
GULBARGA,Munirabad Sub Station,37
GULBARGA,Raichur,50
GULBARGA,Gabbur,14
Chitapur,GULBARGA,11
MYSORE,Terakanambi,4
Honnalli,MYSORE,16
Madhugiri,TUMKUR,135
Jagalur,TUMKUR,39
BAGALKOTE,Dambal,22
BAGALKOTE,Mundaragi,15
BAGALKOTE,Enercon Bellati,2
Akhilagya Solar,BAGALKOTE,1
BAGALKOTE,Gadag,106
BAGALKOTE,Jamakhandi,38
BAGALKOTE,Kumta,35
BAGALKOTE,Malghan,27
BAGALKOTE,Ramankoppa,17
BANGALORE,Manyata,47
BANGALORE,REMCO,18
GULBARGA,Halbarga,25
GULBARGA,Khanapur,95
GULBARGA,Margutti Cross,7
GULBARGA,Yeragera,3
GULBARGA,Sirwar,8
Bandihalli,MYSORE,23
MYSORE,Vajamangala,70
Karaya,MYSORE,10
MYSORE,PG Palya,24
MYSORE,Madhuvanahally,220
MYSORE,Vijaya Nagar,7
Ramagiri Sub Station,TUMKUR,22
Kaiga,TUMKUR,28
Midigeshi,TUMKUR,10
Hangal,TUMKUR,16
Chitradurga Traction,TUMKUR,59
BAGALKOTE,Kaladagi,23
BAGALKOTE,Salahalli,7
BAGALKOTE,Hanagal,16
BAGALKOTE,Zhalki,61
BAGALKOTE,Bidnal,173
BAGALKOTE,Indi,23
BAGALKOTE,Lokapur,16
BANGALORE,Channapatna,16
BANGALORE,Mahalakshmi Layout,9
GULBARGA,Mallat,42
GULBARGA,Kogli,3
GULBARGA,Kurugodu,6
GULBARGA,Konkal,22
GULBARGA,Sedam,22
HASAN,Shimoga,2
HASAN,Sagara,3
HASAN,Varahi,12
Beranahalli,TUMKUR,3
Davanagere,TUMKUR,38
BAGALKOTE,Mamadapura,49
BAGALKOTE,Devaragennur,3
BAGALKOTE,Todalbagi,7
BAGALKOTE,Halyal,9
BAGALKOTE,Hirehala,8
BAGALKOTE,Ron,75
BAGALKOTE,Sirasi,234
BAGALKOTE,Udakeri,9
BANGALORE,Sathenahalli,45
BANGALORE,Jayadeva,25
Gundlupet,MYSORE,18
Kadabahalli,MYSORE,1
Kallur,TUMKUR,10
Magadi,TUMKUR,2
BAGALKOTE,Kalaghatagi,24
BAGALKOTE,Tarihal,26
BAGALKOTE,Nargund,3
BANGALORE,Tubinakere,13
BANGALORE,Somanahalli Substation,21
Abbigere,BANGALORE,22
Aurad,GULBARGA,5
Honnali,TUMKUR,12
BAGALKOTE,Talikoti,17
BANGALORE,Vikas Tech Park Substation,24
BANGALORE,Bagmane WTC,13
BANGALORE,Soladevanahalli,18
GULBARGA,Kushtagi,20
GULBARGA,Galaga,19
GULBARGA,Nalwar,13
GULBARGA,Naganoor,5
GULBARGA,Hampasagara,1
HASAN,Hiriyadka,4
MYSORE,Mandya Power Sub station,32
MYSORE,Shanivarasanthe,25
Antharasanahalli,TUMKUR,25
Hanamasagara,TUMKUR,8
Arasikere,TUMKUR,4
Doddaguni,TUMKUR,7
BAGALKOTE,Devanagaon,4
Aheri,BAGALKOTE,26
Annigeri,BAGALKOTE,12
BANGALORE,Banashankari,2
BANGALORE,Hebbal Substation,25
BANGALORE,Hebbani,10
GULBARGA,Humnabad,16
GULBARGA,Ramasamudra Sub Station,34
GULBARGA,Saidapur,4
HASAN,Madhuvana,6
Gurupura,HASAN,2
MYSORE,Uttur,27
Chikkajajuru,TUMKUR,32
Arga,BAGALKOTE,15
Ankola,BAGALKOTE,22
BAGALKOTE,Karwar,28
BAGALKOTE,Kiravatti,11
BAGALKOTE,Umachagi,3
Allipura,GULBARGA,11
GULBARGA,Venkatagiri,13
MYSORE,Yelanduru,44
BAGALKOTE,Mortagi,4
BANGALORE,Budigere,11
BANGALORE,Pathapalya,13
GULBARGA,Madalapura,3
GULBARGA,Sirwal,3
GULBARGA,Kamalapura,3
Harave,MYSORE,10
Bylakuppe,MYSORE,7
Amruthur,TUMKUR,10
Chelur,TUMKUR,22
BAGALKOTE,Hukkeri,27
BAGALKOTE,Munavalli,16
BANGALORE,Mudiyanur,32
Austin Town Substation,BANGALORE,7
GULBARGA,Ladha,2
GULBARGA,Ganadala,1
GULBARGA,Sindhanur,4
HASAN,Honnavalli,1
HASAN,Salagame,10
Anavatti,HASAN,1
HASAN,Kittadahalli,1
Narendra,TUMKUR,7
Handanakere,TUMKUR,25
Bandihalli,TUMKUR,22
TUMKUR,Thimmanahalli,16
TUMKUR,Tiptur,7
Sampige,TUMKUR,11
BAGALKOTE,Daddi,13
BAGALKOTE,Mudalgi,5
Alnavar,BAGALKOTE,8
BAGALKOTE,Shiraguppi,9
BAGALKOTE,Mughalkod,40
BANGALORE,Hoskote,19
BANGALORE,ITI,27
GULBARGA,Itagi,58
GULBARGA,Sriramnagar,1
GULBARGA,Vajrabandi,1
Hunsur,MYSORE,87
Hullenahalli,MYSORE,29
MYSORE,Maddur,29
BAGALKOTE,Navalagi,28
BAGALKOTE,Nippani,10
BANGALORE,Golf Links Substation,16
Attibele,BANGALORE,29
Haluvagilu,TUMKUR,2
Ankali,BAGALKOTE,14
BANGALORE,Kumbalagodu,3
BANGALORE,HBR Layout,11
GULBARGA,Shahabad,23
Lingadahalli,TUMKUR,22
BAGALKOTE,Dhavleshwar,9
BAGALKOTE,Sankeshwara,5
BAGALKOTE,Hangal,2
BAGALKOTE,Jambagi,6
BAGALKOTE,Kanagala,16
BAGALKOTE,Kudachi,32
BANGALORE,Tamaka,26
BANGALORE,Mulbagal,49
GULBARGA,Hanawala,22
GULBARGA,Koppal,4
Chincholi,GULBARGA,7
HASAN,Karkala,4
Besegarhalli,MYSORE,11
Bidarekere,TUMKUR,37
Nitrahalli,TUMKUR,8
BAGALKOTE,Naregal,17
BAGALKOTE,Kavalwad,6
BAGALKOTE,Chandakavathe,3
BANGALORE,Padmanabha Nagar Substation,14
GULBARGA,Gulbarga West,2
HASAN,Heggunje,1
Hangala,MYSORE,11
Bommalapura,MYSORE,8
KR Nagar,MYSORE,23
BAGALKOTE,Rattihalli,14
Afzalpur,GULBARGA,3
GULBARGA,Renew Solar,1
Bargur,HASAN,2
HASAN,Sathenahalli,2
Kanagala,MYSORE,9
MYSORE,Virajpet,10
TUMKUR,Vijayapura,6
Honnalli,TUMKUR,133
BAGALKOTE,Devarahipparagi,1
BAGALKOTE,Savanur,1
BAGALKOTE,Kudal Sangam,2
BAGALKOTE,Terdal,44
BAGALKOTE,Melligeri,9
BANGALORE,Iggaluru,4
GULBARGA,Tekkalkote,23
GULBARGA,KIADB Substation,4
HASAN,Sanda,1
HASAN,Mavali,1
Nagamangala,TUMKUR,9
Nagasamudra,TUMKUR,13
Huliyurudurga,TUMKUR,3
Aques,BAGALKOTE,3
BAGALKOTE,Hiremural,2
BANGALORE,Chandra Layout,1
GULBARGA,Ujjini,11
Arasikere,GULBARGA,8
GULBARGA,Mudgal,4
Hanagodu,MYSORE,5
Bherya,MYSORE,9
MYSORE,Santemaranahalli,4
BAGALKOTE,Hudali,12
BANGALORE,Magadi,21
BANGALORE,Chandapura,5
Anekal,BANGALORE,9
Bellary North,GULBARGA,13
GULBARGA,Yelburga,1
MYSORE,Sargur,9
Hiriyuru,TUMKUR,33
BAGALKOTE,Sindagi KEB substation,10
BAGALKOTE,Bijapur City,14
BAGALKOTE,Laxmeshwar,23
BAGALKOTE,Bhutnal,6
BAGALKOTE,Rabkavi,5
BAGALKOTE,Raibagh,35
BAGALKOTE,Ugar Sugars,4
GULBARGA,Kadaganchii,20
GULBARGA,Kampli,7
HASAN,Mattanavile,1
BAGALKOTE,Navalgund,20
Ainapur,BAGALKOTE,9
BAGALKOTE,Gamesha Ron,3
BANGALORE,Talagawara,5
BANGALORE,Gokula,8
Kattige,TUMKUR,39
Hanagal,TUMKUR,10
BANGALORE,Gudibanda,4
BAGALKOTE,Mukarthihal,15
BAGALKOTE,Sadalaga,20
BANGALORE,Platinum City Power Station,11
BANGALORE,Jadigenahalli,2
Aski,GULBARGA,4
Belur,HASAN,1
Ajjampura,HASAN,1
TUMKUR,Ujjini,14
GULBARGA,Vestas,1
GULBARGA,Mukunda,4
GULBARGA,Sirigeri Cross,12
BAGALKOTE,Shirhatti,4
GULBARGA,Ilakal,3
Malebennuru,TUMKUR,20
BAGALKOTE,Guledagudda,17
BAGALKOTE,Mudhol,5
Bevoor,GULBARGA,3
Pavagada,TUMKUR,116
Essur,HASAN,1
Challakere,TUMKUR,47
BAGALKOT,Guttal,58
BAGALKOT,Uttur,54
BAGALKOT,Navalagi,43
BAGALKOT,nan,2221
Athani,BAGALKOT,41
BAGALKOT,Babaleshwar,36
BAGALKOT,Kushtagi,21
BAGALKOT,Ghataprabha,96
BAGALKOT,Mamadapura,14
BAGALKOT,Navanagara,65
BAGALKOT,Sirasi,218
BAGALKOT,Munavalli,26
BAGALKOT,Benakatti,26
BAGALKOT,Bidnal,223
BAGALKOT,Saundatti,110
BAGALKOT,Chikkodi,123
BAGALKOT,Kudachi,50
BENGALORE,nan,1265
BENGALORE,Maralavadi,7
BENGALORE,Tamaka,1
BENGALORE,Pathapalya,4
BENGALORE,Hebbal Substation,29
BENGALORE,Chitapur,1
HASSAN,nan,6153
HASSAN,Hanbal,54
HASSAN,Hadavanahalli,2
Annigeri,BAGALKOT,8
BAGALKOT,Bagalkot,64
BAGALKOT,Talikoti,11
BAGALKOT,Mortagi,14
BAGALKOT,Kaladagi,15
BAGALKOT,Machhe,22
BAGALKOT,Gadag,70
BAGALKOT,Belgaum,73
BAGALKOT,Navalgund,32
BAGALKOT,Hattaragi,11
BAGALKOT,Hudali,52
BAGALKOT,Nippani,15
BAGALKOT,Haveri,64
BAGALKOT,Shiggaon Sub Station,4
BENGALORE,Mulbagal,10
BENGALORE,Sedam,1
HASSAN,Konaje,117
HASSAN,Sagara,36
BAGALKOT,Mundagoda,12
BAGALKOT,Hidakal,6
Ambewadi,BAGALKOT,176
BAGALKOT,Belur,7
BAGALKOT,Hubli,115
BAGALKOT,Kalaghatagi,29
BAGALKOT,Kiravatti,22
BAGALKOT,Kumta,36
BAGALKOT,Murdeswara,14
Attibele,BENGALORE,4
BENGALORE,Gulbarga,21
HASSAN,Hassan,147
BAGALKOT,Udyambag,103
Atharga,BAGALKOT,32
BAGALKOT,Kulgeri Cross,60
BENGALORE,Vidyanagar,6
BENGALORE,MEI Layout,3
BENGALORE,ITI,2
BENGALORE,Mallat,2
HASSAN,Puttur,104
HASSAN,Varahi,158
HASSAN,Uttur,2
BAGALKOT,Ranebennuru,45
BAGALKOT,Sultanpur,26
BAGALKOT,Gajendragad,64
BAGALKOT,Hirehala,6
BAGALKOT,Ron,42
BAGALKOT,Hirekerur,27
BAGALKOT,Jambagi,35
BAGALKOT,Bilagi,33
BAGALKOT,Lokapur,19
BAGALKOT,Vajramatti,75
BAGALKOT,Melligeri,14
BENGALORE,Magadi,4
BENGALORE,Chandra Layout,1
HASSAN,Nandikur,29
HASSAN,Nagamangala,2
BAGALKOT,Mundaragi,17
Anmod,BAGALKOT,2
Arga,BAGALKOT,5
