zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
220kV SADAWAGHAPUR (Wind),1,0,1,,220.0,23.51182526,17.4392937,73.9357107,thermal,,,,1,0.0
Abbigere,29,0,29,,66.0,4.453909007,13.0728008,77.5286763,thermal,,,,3,0.0
Adani Solar,3,0,3,,66.0,43.79321332999999,16.960381,76.5800605,thermal,,,,1,0.0
Aditya Birla Solar,2,0,2,,110.0,99.19791194,15.087435,75.6304411,hydro,,,,1,0.0
Adugodi Substation,4,0,4,,66.0,0.152031919,12.9326212,77.6129323,hydro,,,,2,0.0
Afzalpur,5,0,5,,110.0,75.15354957,17.2080018,76.3627407,thermal,,,,2,0.003762546856154161
Aheri,63,3,60,10.0,139.33333333333334,64.80064816,16.969999,76.3022276,thermal,,,,4,0.0
Aigali,54,0,54,,110.0,49.5091615,16.7717336,75.2526408,thermal,,,,3,0.0
Ainapur,25,13,12,16.666666666666668,110.0,61.92393357,16.6621631,74.9059066,thermal,,,,3,0.0
Ajjampura,1,0,1,,110.0,119.6727044,13.7240785,76.0030991,thermal,,,,1,0.0
Akhilagya Solar,2,0,2,,110.0,127.8366758,15.3649631,75.751903,hydro,,,,2,0.004497209387702993
Alabal,34,17,17,20.0,110.0,57.70358889,16.5860693,75.2284439,thermal,,,,3,0.0
Alagur,8,0,8,,110.0,48.96221598,16.5560788,75.3423479,thermal,,,,2,0.0
Allipura,12,0,12,,152.16666666666666,185.7659169,15.1576976,76.8711606,thermal,,,,2,0.0
Alnavar,20,10,10,11.0,110.0,61.84225191,15.4128917,74.7450986,thermal,,,,4,0.0
Ambewadi,351,38,313,22.105263157894736,179.93610223642173,70.48226069,15.2774603,74.6168557,thermal,,,,3,0.0
Amruthur,12,0,12,,207.16666666666666,15.62004548,12.9360895,76.9292933,thermal,,,,2,0.0
Anandapur,10,0,10,,110.0,72.68253614,14.084878900000001,75.222524,thermal,,,,2,0.0
Anavatti,11,0,11,,110.0,34.52242537,14.573886999999997,75.1581152,thermal,,,,3,0.0002984148018394592
Anekal,28,0,28,,66.0,20.17063171,12.7431768,77.7074158,hydro,,,,4,0.0
Ankali,30,11,19,18.88888888888889,110.0,53.91340689,16.5350848,74.67416239999999,thermal,,,,4,0.0
Ankola,54,23,31,10.434782608695652,110.0,56.67538154,14.692578,74.3194552,thermal,,,,3,0.0
Anmod,12,4,8,5.0,110.0,41.99197671,15.4381754,74.3079178,thermal,,,,4,0.0
Annigeri,24,3,21,10.0,125.71428571428571,107.192897,15.4107562,75.4188657,thermal,,,,3,0.0
Antharasanahalli,30,5,25,52.0,150.0,57.15067488,13.3766994,77.1062272,thermal,,,,4,0.001720820535306423
Aques,4,1,3,20.0,183.33333333333334,19.69278909,16.1058228,74.5290892,thermal,,,,2,0.0
Arasikere,18,2,16,,129.25,69.46647014,13.3062601,76.2503309,thermal,,,,5,0.005010994543450765
Arehalli,36,0,36,,66.0,106.5239999,13.0539446,75.8094093,thermal,,,,5,0.009134824655109161
Aremallapur,7,5,2,10.0,110.0,99.17453377,14.6287599,75.7633178,thermal,,,,3,0.015709144665063183
Arga,20,3,17,10.0,110.0,58.64371442,14.7730123,74.1567006,thermal,,,,2,0.0
Aski,4,0,4,,110.0,72.07288216,16.6180739,76.3680249,thermal,,,,1,0.0
Athani,102,24,78,16.08695652173913,183.33333333333334,69.69586444,16.7091558,75.0701575,thermal,,,,4,0.0
Athani Sugars,1,0,1,,110.0,58.02401566,16.7689163,74.9182933,hydro,,,,1,0.0
Atharga,139,6,133,10.0,110.0,27.85807031,17.0000194,75.8898727,thermal,,,,4,0.0
Atria,3,1,2,,66.0,63.19191856,12.4356317,76.5799369,thermal,,,,2,0.0
Attibele,54,1,53,,66.0,16.59049879,12.7792952,77.7435717,thermal,,,,4,0.0
Attigere,6,0,5,,66.0,126.4303115,14.3487271,75.9808824,thermal,,,,2,0.0
Attigulipura,15,0,15,,86.53333333333333,90.51348934,11.8236378,77.0084179,thermal,,,,1,0.0
Aurad,7,2,5,,110.0,130.8342408,18.2601589,77.41134810000001,thermal,,,,3,0.004985570799189272
Austin Town Substation,11,0,11,,66.0,1.119813548,12.9639274,77.6149477,thermal,,,,3,0.0
Avanti,34,0,34,,67.29411764705883,58.81975092,15.0269902,75.1964645,thermal,,,,3,0.04432029738829521
BAGALKOT,2221,840,1367,15.679347826086957,117.99049012435991,,,,thermal,,,,188,0.15173420968821585
BAGALKOTE,2194,826,1362,15.64655172413793,115.31424375917769,,,,thermal,,,,184,0.1453612023351366
BAGALKOTE LINE,314,0,313,,116.46645367412141,,,,thermal,,,,102,0.2540667495037886
